MediaID,RaceAnchorFull,Source,MediaType,Title,URL,StartMinutes,StartSeconds,StartTimestamp,Notes
1,BA050826_R1,HRV,Audio,HRV Preview,https://open.spotify.com/episode/4cmv6b6Ly5M4sKPg9YdTPW,1,25,85,
2,BA050826_R2,HRV,Audio,HRV Preview,https://open.spotify.com/episode/4cmv6b6Ly5M4sKPg9YdTPW,3,40,220,
3,BA050826_R3,HRV,Audio,HRV Preview,https://open.spotify.com/episode/4cmv6b6Ly5M4sKPg9YdTPW,6,29,389,
4,BA050826_R4,HRV,Audio,HRV Preview,https://open.spotify.com/episode/4cmv6b6Ly5M4sKPg9YdTPW,9,57,597,
5,BA050826_R5,HRV,Audio,HRV Preview,https://open.spotify.com/episode/4cmv6b6Ly5M4sKPg9YdTPW,13,33,813,
6,BA050826_R6,HRV,Audio,HRV Preview,https://open.spotify.com/episode/4cmv6b6Ly5M4sKPg9YdTPW,17,17,1037,
7,BA050826_R7,HRV,Audio,HRV Preview,https://open.spotify.com/episode/4cmv6b6Ly5M4sKPg9YdTPW,19,26,1166,
8,KI060826_R1,HRV,Audio,HRV Preview,https://open.spotify.com/episode/2sRZykXFn1s5OzKS7bN3nJ,1,10,70,
9,KI060826_R2,HRV,Audio,HRV Preview,https://open.spotify.com/episode/2sRZykXFn1s5OzKS7bN3nJ,5,34,334,
10,KI060826_R3,HRV,Audio,HRV Preview,https://open.spotify.com/episode/2sRZykXFn1s5OzKS7bN3nJ,8,52,532,
11,KI060826_R4,HRV,Audio,HRV Preview,https://open.spotify.com/episode/2sRZykXFn1s5OzKS7bN3nJ,12,25,745,
12,KI060826_R5,HRV,Audio,HRV Preview,https://open.spotify.com/episode/2sRZykXFn1s5OzKS7bN3nJ,15,20,920,
13,KI060826_R6,HRV,Audio,HRV Preview,https://open.spotify.com/episode/2sRZykXFn1s5OzKS7bN3nJ,18,9,1089,
14,KI060826_R7,HRV,Audio,HRV Preview,https://open.spotify.com/episode/2sRZykXFn1s5OzKS7bN3nJ,21,30,1290,
15,ML070826_R2,SHRC,Audio,Wager Wednesday,https://open.spotify.com/episode/62Gvhn2p7e9Hi9hSxUqbHM,0,58,58,
16,AP080826_R4,SHRC,Audio,Wager Wednesday,https://open.spotify.com/episode/62Gvhn2p7e9Hi9hSxUqbHM,1,8,68,
17,BA050826_R5,SHRC,Audio,Wager Wednesday,https://open.spotify.com/episode/62Gvhn2p7e9Hi9hSxUqbHM,1,49,109,
18,EY070826_R4,SHRC,Audio,Wager Wednesday,https://open.spotify.com/episode/62Gvhn2p7e9Hi9hSxUqbHM,2,6,126,
19,ML070826_R1,HRV,Audio,HRV Preview,https://open.spotify.com/episode/5jB9Mm9NQEVR185FbIglge,0,59,59,
20,ML070826_R2,HRV,Audio,HRV Preview,https://open.spotify.com/episode/5jB9Mm9NQEVR185FbIglge,4,13,253,
21,ML070826_R3,HRV,Audio,HRV Preview,https://open.spotify.com/episode/5jB9Mm9NQEVR185FbIglge,6,33,393,
22,ML070826_R4,HRV,Audio,HRV Preview,https://open.spotify.com/episode/5jB9Mm9NQEVR185FbIglge,13,56,836,
23,ML070826_R5,HRV,Audio,HRV Preview,https://open.spotify.com/episode/5jB9Mm9NQEVR185FbIglge,17,18,1038,
24,ML070826_R6,HRV,Audio,HRV Preview,https://open.spotify.com/episode/5jB9Mm9NQEVR185FbIglge,20,44,1244,
25,ML070826_R7,HRV,Audio,HRV Preview,https://open.spotify.com/episode/5jB9Mm9NQEVR185FbIglge,23,54,1434,
26,ML070826_R8,HRV,Audio,HRV Preview,https://open.spotify.com/episode/5jB9Mm9NQEVR185FbIglge,27,13,1633,
27,MX080826_R1,HRV,Audio,HRV Preview,https://open.spotify.com/episode/5jB9Mm9NQEVR185FbIglge,3,30,210,
28,MX080826_R2,HRV,Audio,HRV Preview,https://open.spotify.com/episode/7fqkj4bwUQIWStLhwXaUjt,8,1,481,
29,MX080826_R3,HRV,Audio,HRV Preview,https://open.spotify.com/episode/7fqkj4bwUQIWStLhwXaUjt,10,19,619,
30,MX080826_R4,HRV,Audio,HRV Preview,https://open.spotify.com/episode/7fqkj4bwUQIWStLhwXaUjt,12,32,752,
31,MX080826_R5,HRV,Audio,HRV Preview,https://open.spotify.com/episode/7fqkj4bwUQIWStLhwXaUjt,15,53,953,
32,MX080826_R6,HRV,Audio,HRV Preview,https://open.spotify.com/episode/7fqkj4bwUQIWStLhwXaUjt,18,21,1101,
33,MX080826_R7,HRV,Audio,HRV Preview,https://open.spotify.com/episode/7fqkj4bwUQIWStLhwXaUjt,21,30,1290,
34,MX080826_R8,HRV,Audio,HRV Preview,https://open.spotify.com/episode/7fqkj4bwUQIWStLhwXaUjt,22,57,1377,
35,MX080826_R1,HRV,Audio,Burning Questions,https://open.spotify.com/episode/521pJFuWNlXsk0b3XjpMGb,2,47,167,
36,MX080826_R3,HRV,Audio,Burning Questions,https://open.spotify.com/episode/521pJFuWNlXsk0b3XjpMGb,7,39,459,
37,MX080826_R4,HRV,Audio,Burning Questions,https://open.spotify.com/episode/521pJFuWNlXsk0b3XjpMGb,12,38,758,
38,MX080826_R6,HRV,Audio,Burning Questions,https://open.spotify.com/episode/521pJFuWNlXsk0b3XjpMGb,17,45,1065,
39,MX080826_R7,HRV,Audio,Burning Questions,https://open.spotify.com/episode/521pJFuWNlXsk0b3XjpMGb,24,20,1460,
40,MX080826_R5,HRV,Audio,Burning Questions,https://open.spotify.com/episode/521pJFuWNlXsk0b3XjpMGb,26,6,1566,
41,SP110826_R1,HRV,Audio,HRV Preview,https://open.spotify.com/episode/67xaWikSAIVz2P8QP0sKUh,0,31,31,
42,SP110826_R2,HRV,Audio,HRV Preview,https://open.spotify.com/episode/67xaWikSAIVz2P8QP0sKUh,3,45,225,
43,SP110826_R3,HRV,Audio,HRV Preview,https://open.spotify.com/episode/67xaWikSAIVz2P8QP0sKUh,6,3,363,
